   1.42889,   0.47782,   0.64200,   0.10197
   1.69857,   0.36452,   0.31250,   0.07727
   1.13270,   0.60108,   0.61860,   0.04500
   0.95111,   0.67760,   0.68650,   0.02673
   0.86068,   0.71182,   0.71570,   0.01996
   0.82040,   0.72746,   0.65380,   0.01843
   0.77915,   0.74250,   0.73710,   0.01753
   0.74600,   0.75254,   0.66100,   0.01664
   0.72973,   0.76194,   0.59590,   0.01590
   0.72602,   0.76372,   0.74510,   0.01546
   0.70703,   0.76814,   0.68830,   0.01497
   0.70465,   0.77058,   0.73370,   0.01454
   0.68040,   0.77776,   0.74830,   0.01388
   0.67677,   0.77788,   0.61540,   0.01349
   0.66920,   0.78092,   0.67370,   0.01314
   0.66798,   0.78134,   0.78740,   0.01296
   0.66160,   0.78374,   0.62670,   0.01265
   0.65283,   0.78690,   0.73220,   0.01219
   0.64500,   0.78958,   0.78570,   0.01189
   0.64702,   0.78976,   0.73010,   0.01163
   0.63983,   0.79080,   0.70390,   0.01126
   0.63541,   0.79264,   0.77240,   0.01095
   0.63256,   0.79308,   0.67070,   0.01072
   0.63531,   0.79256,   0.68100,   0.01041
   0.61586,   0.79850,   0.71920,   0.01008
   0.63012,   0.79420,   0.74830,   0.00988
   0.63294,   0.79396,   0.74440,   0.00975
   0.62085,   0.79802,   0.71240,   0.00938
   0.62680,   0.79554,   0.76740,   0.00922
   0.61811,   0.79788,   0.76790,   0.00898
   0.61062,   0.80270,   0.77150,   0.00874
   0.61734,   0.79886,   0.75660,   0.00855
   0.61360,   0.80028,   0.70700,   0.00833
   0.61582,   0.79908,   0.76890,   0.00805
   0.60909,   0.80200,   0.75880,   0.00789
   0.60849,   0.80352,   0.65690,   0.00766
   0.60922,   0.80218,   0.76760,   0.00747
   0.60353,   0.80336,   0.74920,   0.00736
   0.61066,   0.80198,   0.71420,   0.00726
   0.60361,   0.80482,   0.57870,   0.00702
   0.61003,   0.80242,   0.65650,   0.00688
   0.59301,   0.80702,   0.71660,   0.00660
   0.60087,   0.80416,   0.76510,   0.00650
   0.59825,   0.80504,   0.73710,   0.00646
   0.59026,   0.80964,   0.65350,   0.00630
   0.60981,   0.80066,   0.78790,   0.00612
   0.60225,   0.80622,   0.72610,   0.00600
   0.60207,   0.80254,   0.74370,   0.00587
   0.60004,   0.80430,   0.67420,   0.00579
   0.59828,   0.80698,   0.75970,   0.00567
   0.59880,   0.80574,   0.74980,   0.00553
   0.59801,   0.80580,   0.75350,   0.00543
   0.59438,   0.80700,   0.79120,   0.00534
   0.60334,   0.80276,   0.78190,   0.00527
   0.58909,   0.80804,   0.75110,   0.00515
   0.60220,   0.80216,   0.76980,   0.00506
   0.59140,   0.80812,   0.73400,   0.00495
   0.59798,   0.80540,   0.75230,   0.00489
   0.59427,   0.80790,   0.65270,   0.00489
   0.58448,   0.81120,   0.73830,   0.00476
   0.34440,   0.88762,   0.89630,   0.00450
   0.28858,   0.90450,   0.87850,   0.00413
   0.27445,   0.90816,   0.88660,   0.00387
   0.26432,   0.91130,   0.88240,   0.00368
